ORIGIN_AIRPORT,flights,avg_arrival_delay,delayed_rate,destinations,criticality_score
IND,25048,2.2605397636537847,0.15785691472373042,30,0.406489133761861
PIA,4490,6.189977728285078,0.18997772828507795,7,0.40495867768595045
ACY,3527,8.734902183158491,0.2166146867025801,10,0.40063939053838044
SDF,9940,3.248189134808853,0.16448692152917505,18,0.3909465020576132
ASE,3263,15.492491572172847,0.2889978547349065,8,0.39057239057239057
MAF,7252,5.734831770546056,0.16947049089906233,6,0.3900282284120668
FWA,5079,7.231738531206931,0.1772002362669817,5,0.38754548855558957
CHS,11548,3.8550398337374436,0.16115344648423968,23,0.3848246777539706
MLI,3619,7.193699917104173,0.19977894445979552,6,0.381695745332109
12953,8447,-1.521960459334675,0.16526577483130106,50,0.37743314174290604
CRP,4716,6.588422391857506,0.1779050042408821,3,0.37565327801018034
BOI,11524,5.89170426935092,0.16053453661922942,16,0.37565327801018034
JAX,17777,3.7196939866119143,0.15671935647184565,22,0.37346529265721184
SBA,5878,4.946070091867982,0.17301803334467505,6,0.37329524198211067
ORF,9084,4.028071334214003,0.16325407309555262,16,0.37234295820154406
EVV,3707,6.316428378742919,0.19395737793363907,4,0.36979219807502633
STT,4171,4.082713977463438,0.18221050107887796,12,0.3666292555181444
SBN,4343,8.896845498503339,0.17982961086806354,7,0.3615163985534356
ELP,11806,4.9989835676774526,0.15669998305946128,12,0.3441825664047886
BDL,18375,0.7580408163265306,0.15270748299319728,25,0.33868426124318385
CHA,4125,5.725333333333333,0.17575757575757575,4,0.3332313029282726
TTN,2771,11.990256225189462,0.23204619271021293,18,0.3298983096962895
AMA,4074,6.416053019145803,0.17574864997545409,5,0.32926345384257844
14771,14094,1.7940967787711082,0.15290194408968355,67,0.3242526272829303
MSN,8830,3.0346545866364667,0.15764439411098527,17,0.3242299538595835
GRR,10541,1.9546532587041077,0.1543496821933403,15,0.32266548764865266
ROC,7240,0.9294198895027624,0.16022099447513813,13,0.32011472752213493
PVD,10757,0.4002974807102352,0.15338849121502277,15,0.3158861340679523
BUF,16476,0.2952779800922554,0.14809419762078174,18,0.3156820732578308
MGM,3107,7.482458963630512,0.1960090119085935,2,0.31550068587105623
SAT,29375,2.1752170212765956,0.14515744680851064,30,0.31550068587105623
BTV,2884,5.910540915395284,0.2007628294036061,7,0.3100817376911653
SNA,36708,1.6555791653045657,0.14149504195270785,22,0.31003639084447165
JNU,4031,5.513768295708261,0.17340610270404366,7,0.3099003503043907
12889,12649,1.803858012491106,0.14949798403035813,72,0.3045267489711934
VPS,4744,5.68043844856661,0.16610455311973019,3,0.303993923522543
AEX,3054,8.943352979698755,0.1902423051735429,3,0.2987450260177533
TUS,14922,2.4423669749363355,0.14569092614930976,16,0.29464113639197814
PWM,4529,3.3601236476043277,0.16692426584234932,11,0.29362083234137104
PIT,23669,-1.1953610207444336,0.13946512315687185,30,0.28561711389994215
BUR,18527,3.1429805149241647,0.1399039240028067,11,0.2829643233683638
PNS,6403,3.583632672184913,0.15680149929720444,9,0.2829303132333435
SBP,3063,4.552073130917401,0.18086842964413974,3,0.28050425693523334
12266,13091,1.7144603162478038,0.1447559391948667,103,0.2780328537904295
CRW,2315,10.653995680345572,0.22332613390928727,6,0.277522701765126
SYR,5447,0.48356893702955756,0.15972094731044612,11,0.2736455463728191
GRB,4720,3.8262711864406778,0.16059322033898304,4,0.26538108356290174
11259,5873,5.757364209092457,0.156649072024519,51,0.2593726263759934
10821,7991,1.7016643724189713,0.1479164059567013,63,0.2581822716502851
GNV,2635,8.16470588235294,0.18519924098671728,2,0.25684453967282256
12478,8255,-1.701877649909146,0.14669897032101756,58,0.25422575927626434
SLC,96505,0.7500854877985597,0.12970312419045646,89,0.25166366243807325
ISP,4238,2.1153846153846154,0.16163284568192543,6,0.25096078631432167
ATW,2759,5.654222544400145,0.17868793040956868,4,0.24803591470258138
12892,17628,0.5325618334467892,0.1345586566825505,67,0.2477638336224195
PDX,46777,1.2046518588195052,0.13027770057934454,47,0.24609733700642789
GSP,6380,3.1156739811912226,0.15141065830721004,13,0.2454171343060232
MLU,2876,7.462795549374131,0.17559109874826148,3,0.24521307349590177
LEX,5800,2.7444827586206895,0.15379310344827588,8,0.2446462379122312
AGS,2345,8.452452025586354,0.19402985074626866,2,0.24373930097835825
LBB,4458,6.287797218483625,0.15903992821893226,7,0.24330850593476858
BMI,2620,5.9793893129771,0.18091603053435115,7,0.24296840458456617
BIS,3382,4.9905381431105855,0.16824364281490242,4,0.24148329535534924
GRK,3869,5.834065650038769,0.1620573791677436,3,0.23822965910508
