model,accuracy,precision,recall,f1,roc_auc
random_forest,0.7092460415128394,0.5188638334778838,0.6436256051640667,0.5745498199279712,0.7590226510229597
logistic_regression,0.685043892033801,0.4885913633792193,0.6968800430338892,0.5744374237889369,0.7524198148681682
baseline_majority,0.6949708753794405,0.0,0.0,0.0,0.5
