ROUTE,flights,avg_arrival_delay,delayed_rate,avg_distance
LIT-DFW,1264,14.85126582278481,0.28322784810126583,304.0
ORD-LAS,4217,10.50343846336258,0.28313967275314206,1514.0
DEN-COS,2018,14.763131813676909,0.2829534192269574,73.0
DFW-MAF,1081,13.803885291396854,0.2821461609620722,309.0
DAL-LGA,2470,12.832793522267206,0.2813765182186235,1381.0
CLT-JFK,2498,12.849879903923139,0.2798238590872698,541.0
ORD-MSP,6240,13.975320512820513,0.2798076923076923,334.0
TYS-DFW,1565,16.62364217252396,0.27859424920127795,771.8159744408946
MDW-LGA,2064,13.12984496124031,0.27810077519379844,725.0
SMF-SFO,1536,15.146484375,0.2779947916666667,86.0
IAH-ORD,4212,12.651709401709402,0.2775403608736942,925.0
MCO-IAD,1637,13.452046426389737,0.2773365913255956,758.0
MIA-JFK,3521,13.06191422891224,0.2771939789832434,1089.0
OAK-LAX,6053,12.430695522881216,0.27672228646951924,337.0
LAS-ONT,1370,13.208029197080291,0.27664233576642333,197.0
MSY-ORD,1334,12.9167916041979,0.2766116941529235,837.0
PHL-MIA,2614,10.358837031369548,0.27620504973221116,1013.0
DFW-EWR,2422,9.938480594549958,0.27580511973575556,1372.0
BWI-BUF,1766,11.225934314835786,0.27519818799546997,281.0
STL-LGA,1502,10.081225033288948,0.27496671105193077,888.0
PBI-JFK,1855,13.57088948787062,0.2749326145552561,1028.0
HPN-ATL,1808,14.285951327433628,0.27488938053097345,780.0
HOU-MCO,1386,12.108225108225108,0.27344877344877344,849.0
ORD-BWI,2396,12.921535893155259,0.2733722871452421,622.0
MCO-JFK,5245,15.729456625357484,0.27321258341277405,944.0
BWI-ORF,1123,12.358860195903828,0.27248441674087265,159.0
BWI-BDL,2137,12.875526438933084,0.27187646233036966,283.0
DCA-EWR,1384,11.541184971098266,0.27167630057803466,199.0
BNA-LGA,2294,12.62205754141238,0.26983435047951176,764.0
LAS-LAX,9651,11.974614029634235,0.26981659931613305,236.0
