k,inertia,silhouette
2,3913.8498017693396,0.2574623630644866
3,3194.5408225348524,0.28055572798168993
4,2869.694341944378,0.2787073177193352
5,2581.324553447023,0.279887760654191
6,2358.2888406524585,0.262404037112132
7,2178.7353204333276,0.2631419950691472
8,2023.7114573519812,0.2137726848190083
