ORIGIN_AIRPORT,total_flights,avg_arrival_delay,delayed_rate,avg_distance,cancelled_rate,destinations_served,madrugada,morning_delay_rate,night_delay_rate,afternoon_delay_rate,cluster,pca_1,pca_2
BRD,7,5.0,0.2857142857142857,125.14285714285714,0.0,2,0.0,0.5,0.0,0.25,5,-0.03495823786254372,-1.2496989986037772
BRO,21,17.238095238095237,0.38095238095238093,374.2857142857143,0.0,2,0.0,0.14285714285714285,1.0,0.5714285714285714,1,1.0117940524194773,-0.08395596329386386
BRW,8,-7.75,0.0,511.5,0.0,3,0.0,0.0,0.0,0.0,0,-2.8075551716369613,-0.8203852432908112
BTM,6,-4.666666666666667,0.0,358.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.681370307037186,-1.026181308230747
BTR,55,43.50909090909091,0.45454545454545453,360.54545454545456,0.0,3,0.75,0.3611111111111111,0.0,0.6,5,1.8857510698936597,-0.7892141340405465
BTV,34,16.08823529411765,0.29411764705882354,535.0,0.0,6,0.6666666666666666,0.25,1.0,0.21428571428571427,1,0.26587753847770096,0.14277763543998237
BUF,145,3.806896551724138,0.2206896551724138,596.5310344827586,0.0,15,0.1,0.16666666666666666,0.25,0.3191489361702128,3,-0.7914271210063093,0.05062050030500668
BUR,165,17.89090909090909,0.2727272727272727,463.6909090909091,0.0,11,0.0,0.3088235294117647,0.4444444444444444,0.17142857142857143,3,-0.04328795977034076,-0.018089170916937933
BWI,747,12.457831325301205,0.2878179384203481,757.6666666666666,0.0,63,0.0,0.15076923076923077,0.532258064516129,0.2863247863247863,6,-0.38679500676948886,2.75393245286976
BZN,52,35.44230769230769,0.4423076923076923,836.8461538461538,0.0,10,0.0,0.43478260869565216,0.6666666666666666,0.4230769230769231,1,1.7521200279074405,0.3462945637514005
CAE,54,27.537037037037038,0.37037037037037035,503.3333333333333,0.0,6,0.0,0.3125,0.375,0.5,5,1.0879971351181648,-0.30456060019902326
CAK,56,-5.214285714285714,0.10714285714285714,589.5,0.0,10,0.0,0.030303030303030304,0.0,0.22727272727272727,0,-1.9778279897670443,-0.44457036645152664
CDC,5,0.0,0.2,221.0,0.0,1,0.0,0.3333333333333333,0.0,0.0,0,-1.247727440685863,-1.1947015284044933
CDV,3,12.333333333333334,0.6666666666666666,177.66666666666666,0.0,2,0.0,0.0,0.0,0.6666666666666666,5,0.977756838577522,-1.0364559805717535
CEC,5,-2.8,0.2,304.0,0.0,1,0.0,0.3333333333333333,0.0,0.0,0,-1.3484205199628032,-1.1152557229685847
CHA,28,10.928571428571429,0.39285714285714285,296.25,0.0,4,0.0,0.13333333333333333,1.0,0.6,1,0.9037445421588544,-0.09840012599202237
CHO,18,29.055555555555557,0.3888888888888889,474.44444444444446,0.0,3,0.0,0.14285714285714285,0.0,0.5454545454545454,5,0.6935593441217807,-0.7314722255397994
CHS,105,10.914285714285715,0.19047619047619047,578.2,0.0,16,0.0,0.1,0.46153846153846156,0.25,3,-0.7928834599963968,0.16488329899758816
CID,64,19.234375,0.4375,424.875,0.0,6,0.25,0.6296296296296297,0.14285714285714285,0.34615384615384615,5,1.2850434124196637,-0.616896913248352
CIU,6,1.1666666666666667,0.16666666666666666,284.0,0.0,1,0.0,0.25,0.0,0.0,0,-1.4950661484590297,-1.1183613957636145
CLD,19,7.052631578947368,0.10526315789473684,86.0,0.0,1,0.0,0.09090909090909091,0.0,0.14285714285714285,0,-1.5272996394764347,-1.2524038101164592
CLE,285,0.0456140350877193,0.2,747.6947368421053,0.0,28,0.6666666666666666,0.14666666666666667,0.28125,0.24,3,-1.1837757338816397,0.8000800542668217
CLL,16,70.6875,0.4375,147.125,0.0,2,0.0,0.5,0.5,0.3333333333333333,1,2.811857361886746,-0.7240154417944592
CLT,928,4.693965517241379,0.2025862068965517,736.260775862069,0.0,58,0.22727272727272727,0.1437125748502994,0.2490974729241877,0.22372881355932203,6,-1.1695108070236988,2.6679270722824384
CMH,219,8.082191780821917,0.2100456621004566,737.6575342465753,0.0,22,0.0,0.1588785046728972,0.1875,0.2911392405063291,3,-0.8429841681740609,0.45756656720137423
CMI,21,21.857142857142858,0.5714285714285714,241.28571428571428,0.0,2,0.0,0.5,0.6666666666666666,1.0,1,3.034088503135993,-0.47066420986153423
CMX,6,40.166666666666664,0.3333333333333333,359.0,0.0,1,0.0,0.0,0.0,0.6666666666666666,5,0.8147695608727599,-0.877458209141641
CNY,6,-20.0,0.0,184.0,0.0,1,0.0,0.0,0.0,0.0,0,-3.1012376348072075,-1.217078929739603
COD,6,6.666666666666667,0.3333333333333333,344.5,0.0,2,0.0,0.3333333333333333,0.0,0.3333333333333333,5,-0.0906530818872895,-0.9909164158536314
